id,date,tweet,city,retweets,translated_tweet
1348608500046340096,2021-01-11 12:31:37+00:00,kaloka eh. push na push dun sa vaccine from china eh unreliable nga,Navotas,3,crazy. they push so much for the vaccine from china even though it's unreliable
1347059249227079680,2021-01-07 05:55:26+00:00,vaccine day nla daddy ngayon sa guam sana goods,Navotas,3,it's daddy's vaccine day in guam i hope everything's good
1349389062700863488,2021-01-13 16:13:17+00:00,lgu rin namin here astrazeneca yung inaeye na iprocure eh. gawd! i'd be much more relieved. kaysa naman dun sa sinovac.,Navotas,5,our lgu here is also eyeing to procure astrazeneca. god! i'd be much more relieved. instead of that sinovac.
1349281155460206592,2021-01-13 09:04:30+00:00," true ba? basta wag sinovac. hahaha. most of the metro mayors naman, astrazeneca yung balak iprocure",Navotas,5,"is that true? as long as it's not sinovac. hahaha. most of the metro mayors, on the other hand, plan to procure astrazeneca"
1369963586651443200,2021-03-11 10:49:06+00:00,no vaccine no work . edi resign nalang a hahahaha,Mandaluyong,8,no vaccine no work. i might as well just resign hahahaha
1366349787021279232,2021-03-01 11:29:09+00:00,"given the chance, papa-vaccine kba ng sinovac? #tvpatrol",Mandaluyong,16,"given the chance, will you agree to be vaccinated with sinovac? #tvpatrol"
1363865035357843456,2021-02-22 14:55:38+00:00,"buti pa lola ko at tito ko nag vaccine na ☹️ pilipinas, ano na?",Mandaluyong,8,"my grandmother and uncle are fortunate to have already been vaccinated. ☹️ philippines, what's up?"
1363818459079999488,2021-02-22 11:50:33+00:00,oi nasan na ung vaccine 😑😑😑,Mandaluyong,8,oi where's the vaccine 😑😑😑
1354622733582180352,2021-01-28 02:50:02+00:00,sweldo kinsenas na namn and to see na napakalaki ng tax deduction makes me angry.. tapos i've learned na for companies pala to be allowed to procure vaccines half of it should be given sa gobyerno.. akala ko ba uutang bakit naghihingi pa sa private sector? #incompetendgovt,Mandaluyong,8,it's salary time again and to see that the tax deduction is too big makes me angry .. then I've learned that for companies to be allowed to procure vaccines half of it should be given to the government .. I thought I owed money why are they still asking private sector? #incompetendgovt
1349639092506558464,2021-01-14 08:46:49+00:00,mygosh pre-reg na ng vaccine sa manda 🙊,Mandaluyong,8,mygosh it's already pre-registration for vaccine in manda 🙊
1344250491727802368,2020-12-30 11:54:26+00:00,"cno ang magbabayad or 100% covered ba ng  ang covid vaccine  parabsa mga pwd, sr citizens, indigent at front liners?",Mandaluyong,16,"who will pay for it or will the covid vaccine will be 100% covered for the pwd, senior citizens, indigent and front liners?"
1366264780009349120,2021-03-01 05:51:22+00:00,recommended for 18-59yo pero hindi sinabing bawal sa 60 pataas.daming excuses ng mga payaso.#sinovac #showbizgovernment,Mandaluyong,8,recommended for 18-59yo but that doesn't mean that it's not allowed for 60 and above. the clowns have so many execuses #sinovac #showbizgovernment
1350796951139192832,2021-01-17 13:27:44+00:00,pero no padin sa sinovac 🙂,Mandaluyong,8,but it's still a no for sinovac 🙂
1348561977778425856,2021-01-11 09:26:45+00:00,sinovaclang nagrecommend ng sinovac? dami eme sa buhay. vacclang tooo!,Mandaluyong,8,who recommended sinovac? so many drama in life.
1347537319566327808,2021-01-08 13:35:07+00:00,hahahaah yeah!!! paturok na ako wag lang yang sino/vac/pharm na yan. huhu miss you teh,Mandaluyong,7,hahahaah yeah !!! i'm gonna get vaccinated as long as it's not sino/vac/pharm. huhu miss you teh
1347704774318198784,2021-01-09 00:40:31+00:00,d man lang nya naabutan yung vaccine. 😔,Makati City,4,he didn't even get to wait until there's a vaccine. 😔
1346751219558019072,2021-01-06 09:31:26+00:00,"pota? yung quezon province daw mag allot ng 1b for vaccine, eh para san pa yung inutang ni dta3??? plot twist, mukang kanya kanya uli ang lgu o binigyan nya ng budget??? hmmmm",Makati City,4,"fuck? yung quezon province daw mag allot ng 1b for vaccine, eh para san pa yung inutang ni dta3 ??? plot twist, mukang kanya kanya uli ang lgu o binigyan nya ng budget ??? hmmmm

fuck? the quezon province will be alloting 1b for vaccine, so what's the use of the debt incurred by dta3??? plot twist, it looks like the lgu are left to fend for themselves or did he already give them a budget ??? hmmmm"
1346650156322541568,2021-01-06 02:49:51+00:00,📍makati city hallregister muna tayo to be a makatizen para sa libreng vaccine 😉 char,Makati City,4,📍makati city hall let's register first to be a makatizen for the free vaccine 😉 char
1346429792040566784,2021-01-05 12:14:12+00:00,lapit na 2022 election talaga. next nyan sunod-sunod na paandaran sa covid vaccine.,Makati City,8,it's really nearing the 2022 election. next will be successive gimicks for the covid vaccine.
1346223791433633792,2021-01-04 22:35:38+00:00,"basta ako, rape is rape. nakakaputangina talaga.however, pnp is very playful. papasabugin yung issue 4days after the incident habang sabog yung issue sa vaccines at sunod sunod yung pagpatay issue ng mga pulis? 🤔 quite a diversion isn't it. dami pang unresolved big issues oh",Makati City,4,"for me, rape is rape. it's really fucked up. however, pnp is very playful. the issue is blown up  4 days after the incident while the rampant issue regarding vaccines is on going, as well as the issue of killings by the police? 🤔 quite a diversion isn't it. many more unresolved big issues oh"
1339382877499244544,2020-12-17 01:32:17+00:00,kaka china vaccine nyo baka year 2022 pa tayo balik normal. 😒,Makati City,4,because of always saying china vaccine we might go back to normal by 2022. 😒
1338282609726480384,2020-12-14 00:40:12+00:00,"putang ina naman, ginagamit na sa ibang bansa yung pfizer bat aantayin pa natin yang punyetang sa sinovac. then meron pang maaapprove na vaccines gawa ng oxford-astrazeneca and moderna. bakit yung sa chinese talaga?",Makati City,66,"fuck it, pfizer is already being used in other countries why do we have to wait for the fucking sinovac. then there are other approved vaccines made by oxford-astrazeneca and modern. why is it really in chinese?"
1369077014548770816,2021-03-09 00:06:11+00:00,nag 16hrs naman kasi ako kahapon. after vaccination dali dali agad sa floors si bayutch! 🤦🏼♂️,Makati City,8,i rendered 16hrs yesterday. after vaccination i was quickly on the floors!  🤦🏼♂️
1369492425736036352,2021-03-10 03:36:52+00:00,kasi ang sinovac talaga ay nss lang talaga hahahahaha charot lang p0,Makati City,4,because sinovac is actually just nss hahahahaha joke
1367664177255305216,2021-03-05 02:32:04+00:00,sinovac tong binigay sa mga nagpalista,Makati City,4,sinovac is given to those who registered
1367275969510260736,2021-03-04 00:49:28+00:00,ohh nice. sinovac daw. char,Makati City,4,ohh nice. they said it's sinovac. char
1366687467084992512,2021-03-02 09:50:58+00:00,sinovac? no tnxx,Makati City,4,sinovac? no thanks
1365958485259653120,2021-02-28 09:34:15+00:00,bat naman po sinovac my gad,Makati City,4,why is it sinovac my god
1365306647392886784,2021-02-26 14:24:05+00:00,sa monday dapat pero nooooo to sinovac tayo bhiee🥲🥲🥲🥲,Makati City,4,supposdely on monday but let's say no to sinovac
1350108599700242432,2021-01-15 15:52:28+00:00,hahahahahaha ay pass muna ko kung sinovac. 😂😂😂😂😂,Makati City,4,hahahahahaha i'm gonna pass up the chance if sinovac. 😂😂😂😂😂
1365306831006879744,2021-02-26 14:24:49+00:00,kakairita punyeta🥲🥲 samantalang nung evaluation pfizer daaa,Makati City,4,i'm annoyed fuck. while they said that during the evaluation that it's gonna be pfizer
1361336526500552704,2021-02-15 15:28:14+00:00,same doc same. btw pfizer employer ko hahaa.,Makati City,4,same doc same. btw pfizer is my employer hahaa.
1349979917597904896,2021-01-15 07:21:08+00:00,hahahahaha sumakto ung pa frame ng pfizer sa profile pic ko hhhahaha,Makati City,4,hahahahaha the pfizer frame really fits my profile pic hhhahaha
1349943671655854080,2021-01-15 04:57:06+00:00,pfizer iturok mo ha... goodluck syo... vaklangtohhhhh,Makati City,4,get vaccined with pfizer ... good luck to you ...
1366999381933662208,2021-03-03 06:30:24+00:00,so sure na ba yang astrazeneca vaccines bukas or bullshit government statement as usual,San Juan,20,so is it sure that it'll be astrazeneca vaccines tomorrow or bullshit government statement as usual
1366728049295691776,2021-03-02 12:32:14+00:00,pa ask naman din if i have the certificate na healthty ako puwedi na ba ako mag pa vaccine smile po lagi usec thankyou po for the explanation smile,San Juan,10,please ask if i can already get vaccinated when i have the certificate stating that i'm healthy smile always usec than you for the explanation smile
1366182500666466304,2021-03-01 00:24:25+00:00,"heard today:  ano, sasinovac ka ba? hindi, aastra ako... (vaccines as verbs) 😖",San Juan,10,"heard today: what, are you gonna be vaccinated with sinovac? no, i'ts astra for me ... (vaccines as verbs) 😖"
1365292523975974912,2021-02-26 13:27:58+00:00,"distraction nanaman ba itong binawing holidays from the misencounter and vaccine fiasco?tapos ""makikiusap"" nanaman si epal na bonggo sa tatay nila para ibalik ung holidays para bida nanaman sya.takteng yan, ang galing mambwisit ng gobyernong ito.",San Juan,10,"did the decide to withdraw the holidays in order to distract us from the misencounter and vaccine fiasco? then the foolish bonggo will ""beg"" their father again to return the holidays so that he can be a hero again."
1365291135250309120,2021-02-26 13:22:27+00:00,bagsak talaga and bagsak kasi una wala formal  education kulang ang information😜 about the vaccine sorry wag magalit mga sa goverment po sorry,San Juan,10,"it's really a failure and it's a failure because first no formal education and incomplete information about the vaccine sorry for those in the government don't get angry
"
1364932823501611008,2021-02-25 13:38:39+00:00,puro practise wala naman pala yun vaccine,San Juan,10,lot's of practice but apparently there's no vaccine
1364162357971144704,2021-02-23 10:37:05+00:00,hahahahahahahaha!!! vaccine lang pala katumbas ng buhay dito sa atin no sir? sad life.,San Juan,10,hahahahahahahaha !!! life is only equivalent to a vaccine here no sir? sad life.
1364063761137471488,2021-02-23 04:05:18+00:00,aga nmn na mind conditioning 🙄 pro sa vaccine pinush ng todo yung 50% efficacy.. deserve ba ntin to?!?,San Juan,10,that's a very early mind conditioning but for the vaccine they heavily pushed for the one with 50% efficacy .. do we deserve this?!?
1363757469101551616,2021-02-22 07:48:12+00:00,"  kaht naman hayop, gusto mo din tamang gamot/vaccine para sure na tatalab ng mabuti...",San Juan,10,"even in animals, you also want the right medicine or vaccine in order to be sure that it will have a good effect..."
1352752503826259968,2021-01-22 22:58:24+00:00,deadline na today para sa vaccine 🙁 ano naaaaaaaaa. yes or no ba maphi????,San Juan,10,deadline today for the vaccine 🙁 what's up. is it yes or no maphi???
1350069712202260480,2021-01-15 13:17:57+00:00,"nakiuso lang ho.kasi sabi para sa lahat daw ang vaccine. pero, effective parin po ba kahit ganyan?! di naman ho ako choosy 😂",San Juan,10,just went with the trend. because it was said that the vaccine is for everyone. but is is still effective even in that situation? i'm not choosy
1348563972866248704,2021-01-11 09:34:40+00:00,bakit nay vaccine czar pa 😂,San Juan,10,why is there even a vaccine czar 😂
1347367191134441472,2021-01-08 02:19:05+00:00,"how can that be rape when it's obvious in the video that the police shot the mother and son? besides, based on the autopsy, 15b was stolen from philhealth! if the computations are checked, the vaccine is really smuggled, otherwise, the virus needs to spread to the Philippines first before imposing the travel ban.",San Juan,10,"how can that be rape when it's obvious in the video that the police shot the mother and daughter? besides, based on the autopsy, 15b was stolen from philhealth! if the computations are checked, the vaccine is really smuggled, otherwise, the virus needs to spread to the Philippines first before imposing the travel ban."
1341786873643945984,2020-12-23 16:44:54+00:00,"meter stick pala kasi ang in-order. hindi vaccine. 😒kidding aside. sa dami ng meter stick na ginagamit sa pagsukat ng distansya, sana hindi po galing sa pera ng bayan ‘yan. what a waste of money! maliban na lang kung magsasastre sila kapag napagod na tayong lahat sa covid-19.",San Juan,10,"apparently they ordered meter stick. not vaccine. 😒 kidding aside. with the amount of meter stick used to measure the distance, I hope it doesn't come from the town's money. what a waste of money! unless they sew when we’re all tired of covid-19."
1339159571898626048,2020-12-16 10:44:56+00:00,sayang vaccine sayo lakas ng kapit mo sa taas!!!!!,San Juan,10,"the vaccine is a waste with you, you have strong connections with those above !!!!!"
1359760397553659904,2021-02-11 07:05:16+00:00,"toxic na toxic sabayan pa ng pag prepare ng mga mech vent , high flow oxygen sa vaccination area para sa preparation sa vaccination day jusqoooo",San Juan,20,"very toxic, put that along with the preparation of mech vents, high flow oxygen in the vaccination area for preparation for the vaccination day jusqoooo"
1367098267356385280,2021-03-03 13:03:21+00:00,"tbh ni bash ko aning sinovac, pero now na realize nako.. e ampo nlang nato ni nga okay sya. 😇",San Juan,10,"tbh i bashed sinovac, but now i realized .. let's just pray that it's really okay"
1366282446967169024,2021-03-01 07:01:34+00:00,yung mga sales representative ng sinovac ayaw na magpa bakuna???  ano na teh?,San Juan,10,even the sales representative of sinovac does not want to get vaccinated ??? what's up?
1366268795560452096,2021-03-01 06:07:19+00:00,putang ina nyo dyan sa gobyerno ang yayabang nyo eh donated lang naman yang sinovac nyo!,San Juan,10,fuck all of those in the government you're all arrogant when your sinovac are all just donated!
1356086646425284608,2021-02-01 03:47:06+00:00,pero sinovac daw talaga yon. issa prank. 😂😂😂,San Juan,10,but it turns out that it's actually sinovac.. it's a prank. 😂😂😂
1352203836518146048,2021-01-21 10:38:12+00:00,nkkloka... bkit hindi sinovac ng china ang isaksak sa inyo???,San Juan,10,crazy ... why aren't you all vaccinated with sinovac by china ???
1352068103778099200,2021-01-21 01:38:50+00:00,sinovac ang chismis dris pgh. wala pa gani ko nag fill up sa form. mahadlok man ko uyy. dghan staff dili magpa bakuna kung sinovac.,San Juan,10,sinovac is the gossip here in pgh. I haven't even filled up the form yet. I'm scared too. Many staff refuse to be vaccinated if it's sinovac.
1349753350489661440,2021-01-14 16:20:50+00:00,#sinovac pa more! haha!,San Juan,10,more #sinovac! haha!
1349736307778441216,2021-01-14 15:13:07+00:00,11:11 astrazeneca o sinovac o pfizer,San Juan,29,11:11 astrazeneca or sinovac or pfizer
1349538279079567360,2021-01-14 02:06:13+00:00,in another nakakabobong episode of...baket sinovac???,San Juan,10,in another stupid episode of ... why sinovac ???
1349274849038897152,2021-01-13 08:39:26+00:00,hiyang hiya yung gamaleya kay sinovac mami!!!,San Juan,10,gamaleya is so shamed by sinovac mami !!!
1348534913214017536,2021-01-11 07:39:12+00:00," ta3na lang.buti may mga matitinong lgus, kaso pano yung mga maliliit na municipalities?magtitiis sa sinovac ng china na pinili ng national govt sa di malamang dahilan.",San Juan,10,fuck. it's a fortunate thing that there are sensible lgus but how about those small municipalities? they'll tolerate sinovac from china that the government used for some unknown reason
1366209156567293952,2021-03-01 02:10:20+00:00,sbe mas mauuna ung astrazeneca... pero hanu na? nganga?,San Juan,3,they said astrazeneca will arrive much earlier... but what now? waiting for nothing?
1369907203700781056,2021-03-11 07:05:03+00:00,prng di naman hahahaha wala nga kong ganyang vaccine eh hahahahaha. sno nagsabi?,Quezon City,7,"i dont think so hahahaha i don't even have those vaccines hahahahaha. who said that?
"
1369895372890382336,2021-03-11 06:18:02+00:00,uu common un. usually sumasakit tlga katawan after injection. kahit sa ibang vaccine. pero ung iba sa astrazeneca ngka fever eh.,Quezon City,14,yes that's common. the body usually hurts after injection. even with another vaccine. but the others who got vaccinated with astrazeneca had fever.
1369850934793175040,2021-03-11 03:21:28+00:00,lord sana mging okay effect ng vaccine sa body ko 🙏🙏,Quezon City,7,lord i hope the vaccine will have a good effect on my body 🙏🙏
1369850753427202048,2021-03-11 03:20:44+00:00,bwisit na vaccine toh nkaka antok,Quezon City,7,this vaccine is annoying it makes me sleepy
1369815236237160448,2021-03-11 00:59:36+00:00,napilitan pa nga mgpa vaccine today hahahaha. bwisit. lakas mang budol ni maam shei. 😅😅,Quezon City,7,forced to get vaccinated today hahahaha. annoying. maam shei scammed me into it
1368130420626223104,2021-03-06 09:24:45+00:00,okiesss sagot na ni company ang pa vaccine dzai pero may rto!!!!! agikk efas pero ogod!! seeyou soon manda pukenangenangyarn,Quezon City,7,okiesss company will shoulder the vaccine but there's an rto!!!!  agikk efas pero ogod!! seeyou soon manda pukenangenangyarn
1353274621177470976,2021-01-24 09:33:06+00:00,random thought lang kelan kaya tayo matuturukan ng vaccine lol,Quezon City,7,just a random thought when will we get vaccinated lol
1343535757777018880,2020-12-28 12:34:20+00:00,mayor daw muna mauuna....mauuna makakuha ng vaccine. bahala na mga mahihirap,Quezon City,7,it is said that mayor should be the first one ... the first to get the vaccine. take care of the poor
